short_name,long_name,extra_content,script_type,correct_answer,reason,subtag,rules_blind,rules_full,ngram_word,ngram_char,sel_correct_answer,sel_rules_blind,sel_rules_full,sel_ngram_word,sel_ngram_char,sel_correct_rules_blind,sel_correct_rules_full,sel_correct_ngram_word,sel_correct_ngram_char,only_rules_correct,only_ngram_correct
Vegano Bio,Vegano Bio - Shop Online Prodotti Vegani,shop online prodotti vegani,latin,noise,Online/digital channel descriptor — noise,descriptor,noise,noise,business_type,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_longer,keep_shorter,1,1,0,1,1,0
De Giovannini,De Giovannini Secondo di Cozzi Pier Secondo,secondo di cozzi pier secondo,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
El Dorado Hills Sports Club,El Dorado Hills Sports Club and Spa,and spa,latin,business_type,Extra content contains business-type word(s): spa,descriptor,business_type,business_type,business_type,business_type,keep_longer,keep_longer,keep_longer,keep_longer,keep_longer,1,1,1,1,0,0
Extended Stay America,Extended Stay America Los Angeles / Arcadia,los angeles arcadia,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Oh My Goodness,Oh My Goodness OMG,omg,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,noise,noise,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Miracle Mile Shops,Miracle Mile Shops At Planet Hollywood,at planet hollywood,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,location,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Blue Rhino,Blue Rhino Propane Exchange,propane exchange,latin,business_type,Propane exchange describes the service,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Heartland Mortgage Inc - Bobbie Jo Haggard,"Heartland Mortgage Inc. / Bobbie Jo Haggard, NMLS 92472",nmls 92472,latin,noise,License/registration number — listing boilerplate,descriptor,noise,noise,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Hotel Farol,Hotel Farol - Mosqueiro,mosqueiro,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
AdventHealth Medical Group Primary Care,AdventHealth Medical Group Primary Care at Brandon,at brandon,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,location,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Eat Happy,Eat Happy Sushi & asiatische Spezialitäten,sushi asiatische spezialitaten,latin,business_type,Cuisine type (sushi & Asian specialties) — describes the restaurant,descriptor,disambiguation,business_type,disambiguation,business_type,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_longer,0,1,0,1,0,0
Wohnungsauflösungen Schenk,Wohnungsauflösungen Schenk Ankauf und Verkauf,ankauf und verkauf,latin,business_type,Ankauf und Verkauf = buying & selling — business activity type,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
