short_name,long_name,extra_content,h1_label,is_compound,biz_type_tokens,location_tokens,reason,already_in_h4
LOOKING GLASS,Looking Glass Beachfront Inn,beachfront inn,business_type,True,inn,beachfront,"The extra_content ""beachfront inn"" contains two distinct semantic components: ""inn"" is a business-type descriptor (a type of lodging establishment), and ""beachfront"" is a location qualifier (describing the geographic/environmental position of the establishment).",False
Wayne Cooley - COUNTRY Financial,Wayne Cooley - COUNTRY Financial representative,representative,disambiguation,False,representative,,"The extra_content ""representative"" is a pure business-type descriptor indicating a job title or role within COUNTRY Financial. It contains no location qualifier component, so it does not meet the criteria for a compound decomposition (which requires BOTH business-type AND location elements).",False
Fox Trail Memory Care Living,Fox Trail Memory Care Living at South River,at south river,location,False,,at south river,"The extra_content ""at south river"" is purely a location qualifier with no business-type descriptor. It specifies where the memory care facility is situated but does not introduce any additional business classification beyond what is already stated in the short_name (""Memory Care Living""). Therefore, it is not compound.",False
JE Carriers,JE Carriers Auto Transport,auto transport,business_type,False,auto transport,,"The extra_content ""auto transport"" is purely a business-type descriptor. It describes the service/industry type (automotive transport services) but contains no location qualifier or geographic component. Therefore, it is not compound.",False
West Herr Cadillac,West Herr Cadillac of East Aurora,of east aurora,location,False,,of east aurora,"The extra_content ""of east aurora"" is purely a location qualifier. There is no business-type descriptor present—the business type (Cadillac dealership) is already captured in the short_name. This is a location-only qualifier, not a compound structure.",False
Code Ninjas,Code Ninjas Virginia Beach,virginia beach,location,False,,virginia beach,"The extra_content ""virginia beach"" is purely a location qualifier with no business-type descriptor. It specifies a geographic location but does not contain any business-related terms. Therefore, it is not a compound decomposition.",False
Roper St. Francis Physician Partners,Roper St. Francis Physician Partners - Primary Care,primary care,disambiguation,False,primary care,,"The extra_content ""primary care"" is purely a business-type descriptor (a medical service category). It contains no location qualifier or geographic component. Therefore, it is not compound and should not be split.",False
Family Practice Associates of Orange Park,Family Practice Associates of Orange Park Fleming Island,fleming island,disambiguation,False,,fleming island,"The extra_content ""fleming island"" is purely a location qualifier with no business-type descriptor. It represents a geographic location/area name only, not a combination of business type and location.",False
Dias Park,Dias Park Estacionamento,estacionamento,business_type,False,,,"The extra_content ""estacionamento"" (parking lot/parking facility) is purely a business-type descriptor. It does not contain a location qualifier component. Therefore, it is not a compound extra_content requiring decomposition.",False
Esfiha Chic,Esfiha Chic - Vila Arcádia,vila arcadia,location,False,,vila arcadia,"The extra_content ""vila arcadia"" is purely a location qualifier (a neighborhood/district name in a Brazilian city). It contains no business-type descriptor, only a geographic location identifier.",False
Igreja Batista Vale de Bênção,Igreja Batista Vale De Benção - Águas Claras,aguas claras,location,False,,aguas claras,"The extra_content ""aguas claras"" is purely a location qualifier (a neighborhood/district name in Brasília). There is no business-type descriptor present. The business-type information (Igreja Batista - Baptist Church) is already captured in the short_name and long_name fields, not in the extra_content.",False
Bed Bath N Table,Bed Bath N' Table Winston Hills,winston hills,location,False,,winston hills,"The extra_content ""winston hills"" is a pure location qualifier (a suburb/area name). It contains no business-type descriptor, only a geographic location. Therefore, it is not a compound extra_content that needs decomposition into both business-type and location components.",False
See's Candies,See's Candies Chocolate Shop,chocolate shop,business_type,False,chocolate shop,,"The extra_content ""chocolate shop"" contains only a business-type descriptor with no location qualifier. It describes what type of business See's Candies is, but does not include any geographic or location component (e.g., no city, region, address, or spatial identifier). Therefore, it is not a compound expression.",False
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,location,False,,manassas va,"The extra_content contains only location qualifiers (city and state abbreviation). There is no business-type descriptor present - ""Planet Fitness"" (the business type) is already in the short_name. The extra_content is purely geographic/location information, not a compound of both business-type and location elements.",False
Marshalls plc (Marshalls Mono Ltd.),Marshalls plc (Marshalls Mono Ltd.) Sittingbourne,sittingbourne,disambiguation,False,,,"The extra_content ""sittingbourne"" is a pure location qualifier with no business-type descriptor present. It contains only a geographic location name, not a compound of both business-type and location components.",False
Easton Town Center,Easton Town Center Columbus Ohio,columbus ohio,location,False,,columbus ohio,"The extra_content ""columbus ohio"" contains only location qualifiers (city and state). There is no business-type descriptor present. This is pure location information, not a compound of both business-type and location components.",False
Kumon Math and Reading Center,Kumon Math and Reading Center of Royersford,of royersford,location,False,,of royersford,"The extra_content ""of royersford"" is purely a location qualifier with no business-type descriptor. It specifies where the Kumon center is located but does not contain any additional business-type terminology beyond what is already in the short_name.",False
Virtual Sting,Virtual Sting Richmond Hill,richmond hill,location,False,,richmond hill,"The extra_content ""richmond hill"" contains only a location qualifier (a geographic place name). There is no business-type descriptor present, so this is not a compound designation.",False
JOE & THE JUICE,JOE & THE JUICE - Schifflände,schifflande,disambiguation,False,,schifflande,"The extra_content ""schifflande"" is purely a location qualifier (a street/area name in Zurich, Switzerland). There is no business-type descriptor present - the business type is already captured in the short_name ""JOE & THE JUICE"" (a juice/beverage shop chain). The extra_content serves only to disambiguate which location of the business this is.",False
Red Wing,"Red Wing - Roswell, GA",roswell ga,location,False,,roswell ga,"The extra_content ""roswell ga"" contains only a location qualifier (city and state). There is no business-type descriptor present. This is pure location information, not a compound of business-type and location components.",False
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,location,False,,west norwood,"The extra_content ""west norwood"" is a pure location qualifier (a district/area in London). There is no business-type descriptor present—the business type ""Day Nursery"" is already captured in the short_name. Therefore, this is not a compound extra_content requiring decomposition.",False
Boost Mobile,Boost Mobile Local Moline,local moline,location,True,local,moline,"The extra_content ""local moline"" contains two distinct semantic components: ""local"" is a business-type descriptor indicating a local/neighborhood store or service designation, while ""moline"" is a location qualifier specifying the geographic area (Moline, a city name).",False
Village Medical,Village Medical at Walgreens,at walgreens,disambiguation,False,,,"""at walgreens"" is a location qualifier only. It specifies where the business is located (inside/at a Walgreens store) but does not contain a separate business-type descriptor. The business type ""Medical"" is already in the short_name. This is pure location extra content, not a compound of business-type AND location.",False
APEC Hospital de la Ceguera,Apec Hospital De La Ceguera Azcapotzalco,azcapotzalco,location,False,,azcapotzalco,"The extra_content ""azcapotzalco"" contains only a location qualifier (a borough/municipality in Mexico City). There is no business-type descriptor present. The business-type information (""Hospital de la Ceguera"") is already captured in the short_name and long_name fields, not in the extra_content.",False
First National Bank,First National Bank - Pottsville,pottsville,location,False,,pottsville,"The extra_content ""pottsville"" is purely a location qualifier with no business-type descriptor. While the long_name contains ""First National Bank"" (business-type), the extra_content itself is only the geographic location, not a compound of both business-type and location elements.",False
Heartland Mortgage Inc - Bobbie Jo Haggard,"Heartland Mortgage Inc. / Bobbie Jo Haggard, NMLS 92472",nmls 92472,noise,False,,,"""nmls 92472"" is a regulatory/credential identifier (NMLS = Nationwide Multistate Licensing System), not a compound expression containing both a business-type descriptor AND a location qualifier. It is purely a business/regulatory reference number with no geographic component.",False
"Eric Cohen, MD","Eric Cohen, MD - ENT Doctor",ent doctor,disambiguation,False,ent doctor,,"The extra_content ""ent doctor"" contains only a business-type descriptor (ENT = Ear, Nose, Throat specialty). There is no location qualifier present (no geographic reference, no place name, no location indicator). Therefore, this is pure business-type content, not a compound of business-type AND location.",False
Kip McGrath,Kip McGrath Hammersmith,hammersmith,location,False,,,"The extra_content ""hammersmith"" is purely a location qualifier (a district in London). There is no business-type descriptor present. A compound entry requires both a business-type term AND a location qualifier to be present in the extra_content.",False
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,business_type,False,viola cello,,"The extra_content ""viola cello"" contains only business-type descriptors (musical instruments offered by the service). There is no location qualifier present, so this is not a compound decomposition.",False
Home Instead,Home Instead Senior Care,senior care,business_type,False,senior care,,"The extra_content ""senior care"" is purely a business-type descriptor indicating the service/industry category. It contains no location qualifier (no geographic, regional, or place-based terms). Therefore, it is not a compound decomposition.",False
Waterbury Career Academy,Waterbury Career Academy High School,high school,business_type,False,high school,,"The extra_content ""high school"" is purely a business-type descriptor (an educational institution category). It contains no location qualifier or geographic component. Therefore, it is not compound.",False
Jax Kar Wash,Jax Kar Wash - Royal Oak,royal oak,location,False,,royal oak,"The extra_content ""royal oak"" is purely a location qualifier (a city/municipality name). There is no business-type descriptor present in the extra_content. The business type ""Kar Wash"" is already captured in the short_name, not in the extra_content being analyzed.",False
American Legion,American Legion NY Post 381,ny post 381,disambiguation,True,post 381,ny,"The extra_content contains both a business-type descriptor (""post 381"", which identifies the specific organizational unit of the American Legion) and a location qualifier (""ny"", the state abbreviation for New York). These are two distinct semantic components.",False
KIDZ Pediatric Gastroenterology,KIDZ Pediatric Gastroenterology & Nutrition,nutrition,business_type,False,nutrition,,"The extra_content ""nutrition"" is a pure business-type descriptor that represents a medical service/specialty. It does not contain a location qualifier (e.g., city, region, neighborhood). Therefore, it is not compound.",False
Casa de la Cultura,Casa de la Cultura Zapotlanejo,zapotlanejo,location,False,,,"The extra_content ""zapotlanejo"" is purely a location qualifier (a geographic place name). It does not contain both a business-type descriptor AND a location qualifier—it is only a location component. The business-type information (""Casa de la Cultura"" meaning ""House of Culture"") is already present in the short_name and long_name fields, not in the extra_content.",False
El Marlin,El marlin isla ixtapa,isla ixtapa,location,False,,isla ixtapa,"The extra_content ""isla ixtapa"" is purely a location qualifier (an island named Ixtapa). It contains no business-type descriptor, so it cannot be decomposed into two distinct semantic components. It is simple location information only.",False
Hotel Farol,Hotel Farol - Mosqueiro,mosqueiro,location,False,,mosqueiro,"The extra_content ""mosqueiro"" is purely a location qualifier (a district/area name in Pará, Brazil). It contains no business-type descriptor, only a geographic location component. Therefore, it is not a compound structure requiring decomposition into both business-type and location parts.",False
Combat Club,Combat Club - São Paulo,sao paulo,disambiguation,False,,sao paulo,"The extra_content ""sao paulo"" is purely a location qualifier with no business-type descriptor. It identifies the geographic location of the Combat Club but does not contain any business-type terminology, so it cannot be decomposed into two semantic components.",False
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,location,False,,rockingham,"The extra_content ""rockingham"" is a pure location qualifier (a suburb/city name in Western Australia). It does not contain a business-type descriptor alongside the location, so it is not compound. The business-type information (""Hi-Fi"") is already present in the short_name and long_name.",False
Uptown Cheapskate,Uptown Cheapskate Johns Creek,johns creek,location,False,,johns creek,"The extra_content ""johns creek"" is purely a location qualifier (a city name). It does not contain a business-type descriptor, only a geographic location. Therefore, it is not a compound decomposition.",False
Norfolk Royale Hotel,Norfolk Royale Hotel Bournemouth,bournemouth,location,False,,bournemouth,"The extra_content ""bournemouth"" is purely a location qualifier with no business-type descriptor present. It is a single semantic component (geographic location) rather than a compound of both business-type and location elements.",False
Giant Eagle,Giant Eagle Supermarket,supermarket,business_type,False,supermarket,,"The extra_content ""supermarket"" contains only a business-type descriptor with no location qualifier. It is a pure business-type classification, not a compound expression combining business type and location.",False
Giant Eagle,Giant Eagle Supermarket,supermarket,business_type,False,supermarket,,"The extra_content ""supermarket"" contains only a business-type descriptor with no location qualifier. It is a pure business-type classification, not a compound expression combining business type and location.",False
St Michaels Church of England Infant School,St Michael's Church of England Infant School Maidstone,maidstone,location,False,,maidstone,"The extra_content ""maidstone"" is a pure location qualifier with no business-type descriptor. While the full entity name contains a business-type term (Church of England Infant School), the extra_content itself consists only of the geographic location. Therefore, this is not a compound decomposition.",False
Innovent GmbH,Innovent GmbH Greifswald,greifswald,location,False,,greifswald,"The extra_content ""greifswald"" is a pure location qualifier (a city in Germany). There is no business-type descriptor present, only a geographic location component.",False
Victoria coiffure,Victoria Coiffure Florissant,florissant,location,False,,florissant,"The extra_content ""florissant"" is purely a location qualifier (a city name in France). It contains no business-type descriptor, only a geographic location. Therefore, it is not a compound field requiring decomposition into two semantic components.",False
Hollyhock Hill,Hollyhock Hill Restaurant,restaurant,business_type,False,restaurant,,"The extra_content contains only a business-type descriptor (""restaurant"") with no location qualifier. A compound classification requires both a business-type term AND a location component to be present.",False
En-spire Nutrition,En-spire Nutrition Centennial,centennial,location,False,,,"""Centennial"" is a pure location qualifier (refers to Centennial, Colorado). There is no business-type descriptor present in the extra_content. The extra_content contains only a geographic/location component, not a compound of both business-type and location elements.",False
Clarkston High School,Clarkston High School Natatorium,natatorium,business_type,False,,,"""Natatorium"" is a pure business-type descriptor (a facility type - an indoor swimming pool building). It contains no location qualifier or geographic component. Therefore, it is not a compound extra_content.",False
The Breakwater,The Breakwater Apartments,apartments,business_type,False,,,"The extra_content ""apartments"" is a pure business-type descriptor only. It describes the type of establishment/building but contains no location qualifier or geographic component. A compound classification requires both a business-type term AND a location qualifier to be present.",False
Presto! ATM,Presto! ATM at Publix®,at publix,disambiguation,True,ATM,at publix,"The extra_content ""at publix"" contains both a business-type descriptor (ATM - Automated Teller Machine) and a location qualifier (publix, the supermarket chain). The ""at"" preposition links the business type to the specific location where it's situated, making this a compound structure with distinct semantic components.",False
AdventHealth Medical Group Primary Care,AdventHealth Medical Group Primary Care at Brandon,at brandon,location,False,,at brandon,"The extra_content ""at brandon"" contains only a location qualifier with no business-type descriptor. It is a pure location component, not a compound of both business-type and location elements.",False
Doctors Care,Doctors Care - Bluffton,bluffton,location,False,,bluffton,"The extra_content ""bluffton"" is a pure location qualifier with no business-type descriptor. It only contains a geographic location, not a combination of business-type AND location elements.",False
United Promotions Inc,United Promotions Inc. Photo Lab,photo lab,business_type,False,photo lab,,"The extra_content ""photo lab"" is purely a business-type descriptor. It describes the type of service/business (a laboratory for photo processing/printing) with no location qualifier present. There is no geographic or locational component to decompose.",False
Mint House Greenville,Mint House Greenville - West End,west end,location,False,,west end,"The extra_content ""west end"" is purely a location qualifier indicating a neighborhood or district within Greenville. It contains no business-type descriptor, only a geographic/directional modifier.",False
Circo Rolex,Circo Rolex los Mochis,los mochis,location,False,,los mochis,"The extra_content ""los mochis"" is a pure location qualifier (a city in Sinaloa, Mexico). It contains no business-type descriptor, only a geographic location. Therefore, it is not a compound element requiring decomposition.",False
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,location,False,,p penasco,"The extra_content ""p penasco"" is purely a location qualifier (abbreviation for ""Puerto Peñasco""), not a compound of business-type and location. There is no business-type descriptor present in the extra_content.",False
Suspensiones México,Suspensiones México Semi Nuevo,semi nuevo,business_type,False,,,"""semi nuevo"" (semi-new/refurbished) is a condition descriptor for goods or inventory status, not a compound of business-type AND location. It describes the quality/condition of the suspension products being sold, but contains no location qualifier. It is a pure business/product descriptor.",False
Servicio Condesa de Zacatecas,Servicio Condesa de Zacatecas Est. 13915,est 13915,noise,False,,,"The extra_content ""est 13915"" is purely an establishment/registration identifier (likely an establishment number), not a compound of business-type and location. It contains no location qualifier and no business-type descriptor—just a numeric reference code.",False
PT. Bayu Maritim Berkah,PT. Bayu Maritim Berkah - Offshore,offshore,business_type,False,offshore,,"""Offshore"" is a business-type descriptor indicating the operational domain (offshore operations/maritime services) rather than a geographic location qualifier. It describes the nature of the business activity, not a location. Therefore, extra_content contains only a business-type term without a location component.",False
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,business_type,False,engenharia,,"The extra_content ""engenharia"" (engineering) is a pure business-type descriptor with no location qualifier present. It describes the nature of the business activity but does not contain any geographic or location component.",False
The Fairways at San Marcos,The Fairways at San Marcos Apartments,apartments,business_type,False,apartments,,"The extra_content ""apartments"" is purely a business-type descriptor indicating the type of residential facility. There is no location qualifier present in the extra_content. The location ""San Marcos"" is already captured in the short_name and long_name, not in the extra_content field itself.",False
Abbington Landing,Abbington Landing Apartments,apartments,business_type,False,,,"The extra_content ""apartments"" is purely a business-type descriptor with no location qualifier component. It describes what kind of establishment Abbington Landing is, but does not contain any geographic or location-based modifier. Therefore, it is not a compound decomposition.",False
Mail Boxes Etc,Mail Boxes Etc. Greenwich,greenwich,location,False,,greenwich,"The extra_content ""greenwich"" is purely a location qualifier with no business-type descriptor present. It is a geographic location component only, not a compound of both business-type and location elements.",False
Elk River Medical,Elk River Medical Associates,associates,business_type,False,associates,,"""associates"" is a pure business-type descriptor indicating an organizational structure/partnership form. There is no location qualifier present in the extra_content. It does not contain both a business-type term AND a location qualifier, so it is not compound.",False
Fossil Store,"Fossil Store, Markville",markville,location,False,,markville,"The extra_content ""markville"" is a pure location qualifier with no business-type descriptor. While the long_name contains ""Fossil Store"" (a business type), the extra_content itself only provides geographic information. A compound classification requires both components to be present in the extra_content field.",False
Työväen Akatemia,Työväen Akatemian kirjasto,n kirjasto,business_type,False,kirjasto,,"The extra_content ""n kirjasto"" contains only a business-type descriptor (kirjasto = library). There is no location qualifier present. The ""n"" is a Finnish grammatical suffix (partitive case marker) attached to the preceding word ""Akatemian"" in the long_name, not a standalone semantic component. This is pure business-type content, not a compound of business-type AND location.",False
le buzz,Le Buzz Sportsbar,sportsbar,business_type,False,sportsbar,,"The extra_content ""sportsbar"" is purely a business-type descriptor with no location qualifier present. A compound entry requires both components; this contains only the business type.",False
Auto Klinika d.o.o.,Auto Klinika doo Arandjelovac,arandjelovac,location,False,,arandjelovac,"The extra_content ""arandjelovac"" is a pure location qualifier (a city/municipality in Serbia). It contains no business-type descriptor. The business type ""Auto Klinika"" (auto repair clinic) is already captured in the short_name and long_name fields, not in the extra_content.",False
Die Goldschmiede,"Die Goldschmiede, Kaufmann",kaufmann,disambiguation,False,kaufmann,,"The extra_content ""kaufmann"" is a pure business-type descriptor (meaning ""merchant"" or ""businessman"" in German) with no location qualifier present. It does not contain both semantic components required for a compound classification.",False
Möbel Martin,Möbel Martin GmbH & Co,gmbh co,noise,False,gmbh co,,"The extra_content ""gmbh co"" contains only a business-type descriptor (German company structure: GmbH & Co), with no location qualifier present. This is pure business entity information, not a compound of business-type and location.",False
Ewald Scheler,Ewald Scheler Bohrfirma,bohrfirma,business_type,False,bohrfirma,,"The extra_content ""bohrfirma"" contains only a business-type descriptor (German for ""drilling company""). There is no location qualifier present, so this is not a compound structure requiring decomposition.",False
CSL Plasma,CSL Plasma Frankfurt,frankfurt,location,False,,,"The extra_content ""frankfurt"" is a pure location qualifier only. It contains no business-type descriptor. Since a compound classification requires BOTH a business-type term AND a location qualifier to be present, this is not compound.",False
American Printing,American Printing Unlimited,unlimited,disambiguation,False,,,"""Unlimited"" is a business descriptor/modifier (indicating unlimited services or scope) but does not contain a location qualifier. It is pure business-type content with no geographic or location component, so it does not meet the criterion of being compound (both business-type AND location).",False
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,business_type,False,ice arena,,"The extra_content ""ice arena"" is purely a business-type descriptor specifying the facility type. It does not contain a location qualifier (e.g., ""downtown,"" ""north side,"" ""by the river""). While the long_name includes ""Charleston"" (a location), that is not part of the extra_content itself. Therefore, this is not a compound decomposition.",False
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,location,False,,marseille,"The extra_content ""marseille"" is purely a location qualifier with no business-type descriptor present. It is not a compound element requiring decomposition into business-type and location components.",False
Andy Allain - Thrivent,Andy Allain - Thrivent Financial,financial,business_type,False,financial,,"The extra_content ""financial"" is a pure business-type descriptor referring to the industry/service type (Thrivent Financial). It does not contain a location qualifier component, so it is not compound.",False
Austin Lone Star,Austin Lone Star RV Resort,rv resort,business_type,False,rv resort,,"The extra_content ""rv resort"" is purely a business-type descriptor. It describes what kind of establishment this is (a recreational vehicle resort) but contains no location qualifier or geographical component. There is no distinct location element to separate from the business type.",False
Vape Haus,Vape Haus Queretaro,queretaro,location,False,,queretaro,"The extra_content contains only a location qualifier (Queretaro, a state in Mexico). There is no business-type descriptor present - the business type ""Vape Haus"" is already captured in the short_name. This is pure location content, not a compound of both business-type and location components.",False
La gran carpa,La Gran Carpa del Chavo,del chavo,disambiguation,False,,,"""del chavo"" is a possessive/ownership descriptor referring to a person (Chavo), not a compound of business-type AND location. It functions as a proper name modifier rather than combining two distinct semantic categories of business type and location qualifier.",False
Sai Ram Tiffins,Sai Ram Tiffins and Meals,and meals,business_type,False,,,"The extra_content ""and meals"" is purely a business-type descriptor that expands on the service offerings of the establishment. It does not contain a location qualifier (no geographic, directional, or spatial identifier). Therefore, it is not a compound element.",False
Sulminas Viagens,Sulminas Viagens e Turismo,e turismo,business_type,False,,,"The extra_content ""e turismo"" (and tourism) is purely a business-type descriptor. It describes the nature of the business (travel and tourism services) but contains no location qualifier. There is no geographic or location component present, so this is not a compound decomposition case.",False
Floripa Sucos,Floripa Sucos e Lanches,e lanches,business_type,False,e lanches,,"The extra_content ""e lanches"" contains only a business-type descriptor (lanches/snacks), with no location qualifier present. It is a pure business-type addition to the name, not a compound of both business-type and location components.",False
Master Mechanic,Master Mechanic Pickering,pickering,location,False,,pickering,"The extra_content ""pickering"" is purely a location qualifier (city name). There is no business-type descriptor present in the extra_content, as ""Master Mechanic"" is already captured in the short_name. Therefore, this is not a compound entry.",False
Nurse Next Door Senior Home Care Services,Nurse Next Door Senior Home Care Services - Calgary,calgary,location,False,,calgary,"The extra_content ""calgary"" is a pure location qualifier with no business-type descriptor. While the long_name contains business-type information (Senior Home Care Services), the extra_content itself is only a city name, making this a non-compound case.",False
Learn And Play Montessori School,Learn and Play Montessori School - Peralta,peralta,location,False,,peralta,"The extra_content ""peralta"" is a pure location qualifier (a geographic/neighborhood name). It contains no business-type descriptor. The business-type information (""Montessori School"") is already captured in the short_name and long_name fields, not in the extra_content.",False
Leonora Rose,Leonora Rose Florists,florists,business_type,False,,,"The extra_content ""florists"" contains only a business-type descriptor with no location qualifier. A compound designation requires both semantic components present. Since there is no geographic or location element, this is not compound.",False
Management Factory Corporate Advisory GmbH,Management Factory Corporate Advisory GmbH - Valtus,valtus,disambiguation,False,,,"""valtus"" is a location qualifier (appears to be a place name, possibly a district or location identifier in a German-speaking region). It does not contain both a business-type term AND a location qualifier—it is purely a location component. Therefore, it is not compound.",False
Poradnia Medycyny Pracy,"Poradnia Medycyny Pracy ""Jeżyce""",jezyce,location,True,Poradnia Medycyny Pracy,Jeżyce,"The extra_content ""jezyce"" represents a location qualifier (district/neighborhood name in Poznań, Poland). The long_name shows it is paired with a business-type descriptor ""Poradnia Medycyny Pracy"" (Occupational Medicine Clinic). This is a compound structure with both semantic components: a business type (medical clinic) and a location identifier (Jeżyce district).",False
Parrocchia San Francesco di Paola,"Parrocchia San Francesco di Paola ""SanFra""",sanfra,noise,False,,,"""sanfra"" is a nickname/abbreviation derived from ""San Francesco"" (a saint's name and religious institution identifier). It is neither a business-type term nor a location qualifier—it's simply a shortened label for the parish name itself. Therefore, it does not contain two distinct semantic components and is not compound.",False
Mary Print,Mary Print Sardegna,sardegna,location,False,,,"The extra_content ""sardegna"" is purely a location qualifier (a region in Italy). It contains no business-type descriptor, only a geographic component. Therefore, it is not a compound element requiring decomposition.",False
En Vogue,EN VOGUE Coiffure,coiffure,business_type,False,coiffure,,"The extra_content ""coiffure"" is a pure business-type descriptor (French for hairdressing/salon) with no location qualifier component. It describes the type of business, not a geographic location.",False
Blake Fulenwider Chevrolet GMC,Blake Fulenwider Chevrolet GMC Eastland,eastland,location,False,,eastland,"The extra_content ""eastland"" is purely a location qualifier (a city name in Texas). There is no business-type descriptor present in the extra_content; the business type (Chevrolet GMC dealership) is already captured in the short_name. Therefore, this is not a compound structure requiring decomposition.",False
Rocky Hill,Rocky Hill Mountain,mountain,noise,False,,,"The extra_content ""mountain"" is a pure location/geographic feature descriptor, not a compound of business-type and location. It describes a topographic characteristic rather than containing both a business category and a location qualifier.",False
Princeton Radiology,Princeton Radiology - Monroe,monroe,location,False,,monroe,"The extra_content ""monroe"" is purely a location qualifier with no business-type descriptor. While the long_name includes ""Princeton Radiology"" (the business type), the extra_content itself contains only the location component ""monroe"". For a compound classification, the extra_content would need to contain BOTH elements within it.",False
Pharmacare Drugs,Pharmacare Drugs Pharmacy,pharmacy,business_type,False,,,"The extra_content ""pharmacy"" is purely a business-type descriptor with no location qualifier. It describes what kind of business Pharmacare Drugs is, but does not contain any geographic or location information. A compound entry would require both a business type AND a location component (e.g., ""pharmacy downtown"" or ""pharmacy north branch"").",False
Cerrajeria Lionel,Cerrajería Lionel Centrito,centrito,location,False,,centrito,"""Centrito"" is a pure location qualifier (diminutive form of ""centro"" meaning ""little downtown/center area""), not a compound of business-type AND location. There is no business-type descriptor in the extra_content.",False
Lonches Amparito,Lonches Amparito Tránsito,transito,location,False,,,"""Tránsito"" is a location qualifier (a street or neighborhood name in Spanish-speaking areas), not a compound of business-type and location. It is purely a location component, lacking a distinct business-type descriptor paired with it.",False
Colegio Madrid,Colegio Madrid Talleres,talleres,business_type,False,,,"""Talleres"" (workshops/shops) is a pure business-type descriptor referring to a type of facility or workshop. It does not contain a location qualifier - there is no geographic or spatial component present. Therefore, this is not a compound extra_content.",False
La Riviera,La Riviera Oficinas,oficinas,business_type,False,,,"The extra_content ""oficinas"" (offices) is purely a business-type descriptor with no location qualifier component. It describes what kind of establishment it is, but does not contain any geographic or location-based information that would constitute a second semantic component.",False
Dairy Queen,Dairy Queen Thailand,thailand,location,False,,thailand,"The extra_content contains only a location qualifier (""thailand""), not a combination of business-type descriptor AND location qualifier. There is no business-type term present, so this is pure location content, not compound.",False
Pousada das Flores.,Pousada Das Flores - Roraima,roraima,location,False,,,"The extra_content ""roraima"" is a pure location qualifier (a state in Brazil). It does not contain both a business-type term AND a location qualifier together. It is only a location component, so it cannot be decomposed into separate semantic parts.",False
Work Medicina Ocupacional,Work Medicina Ocupacional S/C Ltda,sc ltda,noise,False,,,"The extra_content ""sc ltda"" consists solely of business-type legal entity designators (Sociedad Civil Limitada - Civil Society Limited Company in Spanish/Portuguese). It contains no location qualifier or geographic component. This is pure business structure terminology, not a compound of business-type AND location.",False
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,business_type,False,eatery,,"The extra_content ""eatery"" is a pure business-type descriptor with no location qualifier component. It describes what kind of establishment it is (a place to eat) but does not indicate any geographic location or area designation.",False
Elite Picture Framing,Elite Picture Framing Adelaide,adelaide,location,False,,adelaide,"The extra_content contains only a location qualifier (""adelaide""). There is no business-type descriptor present. The business-type information (""Picture Framing"") is already captured in the short_name, not in the extra_content.",False
Tempe Veterinary,Tempe Veterinary Hospital,hospital,business_type,False,hospital,,"The extra_content ""hospital"" is purely a business-type descriptor. It describes the nature of the establishment (a veterinary hospital) but contains no location qualifier. There is no geographic or location component present in the extra content.",False
Cascade Shores Townhome,Cascade Shores Townhomes & Flats,s flats,business_type,False,s flats,,"The extra_content ""s flats"" contains only a business-type descriptor (flats, referring to apartment units). There is no location qualifier present—no geographic, directional, or spatial modifier. The ""s"" is a fragmentary remnant from the long_name parsing, not a semantic component. This is pure business-type content, not a compound of business-type + location.",False
Over The Rainbow,Over the Rainbow Limited,limited,disambiguation,False,limited,,"The extra_content ""limited"" is purely a business-type descriptor (a common legal entity designation indicating a limited liability company). It contains no location qualifier or geographic component, so it is not compound.",False
Good Morning Children,Good Morning Children Limited,limited,disambiguation,False,limited,,"The extra_content ""limited"" is a business-type descriptor (indicating a limited liability company) only. It contains no location qualifier, so it is not a compound structure requiring decomposition into both semantic components.",False
Calico Jacks,Calico Jack's Bistro,bistro,business_type,False,bistro,,"The extra_content ""bistro"" is a pure business-type descriptor with no location qualifier component. It describes what kind of establishment this is, but does not contain any geographic or location information.",False
COINworKs Bitcoin ATM,COINworKs Bitcoin ATM Modesto,modesto,location,False,,modesto,"The extra_content ""modesto"" is purely a location qualifier with no business-type descriptor present. It represents only the geographic component and does not contain both semantic elements required for a compound classification.",False
Safety Kleen,Safety-Kleen Systems,safetykleen systems,noise,False,,,"The extra_content ""safetykleen systems"" is purely a business-type descriptor (company name variant). It contains no location qualifier or geographic component. This is not a compound entry with both business-type and location semantics.",False
Instyle nails,Instyle Nails and Spa,and spa,business_type,False,,,"The extra_content ""and spa"" contains only a business-type descriptor (spa services). There is no location qualifier present. A compound decomposition requires both a business-type term AND a location qualifier to be present.",False
