subtag,short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,action_label,action_pred,action_correct,extra_is_legal_form
descriptor,Smartphone Solutions,Smartphone Solutions Sunbury,sunbury,latin,location,location,high,"The extra content ""sunbury"" is a geographic location qualifier identifying the city where this Smartphone Solutions business is located, serving as a location-based disambiguator.",1,keep_shorter,keep_shorter,1,False
parenthetical,Vitality Integrated Programs,Vitality Integrated Programs (VIP),vip,latin,disambiguation,noise,high,"The extra content ""vip"" is an acronym/abbreviation for the organization's name itself, serving as marketing notation or internal identifier rather than adding semantic information about the business type, location, or meaningful disambiguation.",0,keep_shorter,keep_shorter,1,False
descriptor,See's Candies,See's Candies Chocolate Shop,chocolate shop,latin,business_type,business_type,high,"The extra content ""chocolate shop"" describes the specific business type and category of establishment that See's Candies operates as, providing essential information about what kind of place this is.",1,keep_longer,keep_longer,1,False
descriptor,Bad & Meer,Bad & Meer Fachmarkt für Heizung & Sanitär,fachmarkt fur heizung sanitar,latin,business_type,business_type,high,"The extra content ""fachmarkt für heizung & sanitär"" (specialty market for heating and plumbing) explicitly describes what kind of business this is—a specialized plumbing and heating supply retailer—making it essential business type information.",1,keep_longer,keep_longer,1,False
descriptor,Royce Rolls,Royce Rolls Cafe,cafe,latin,business_type,business_type,high,"The extra content ""cafe"" directly describes the business type or category of establishment that ""Royce Rolls"" is, making it essential descriptive information about what kind of place this is.",1,keep_longer,keep_longer,1,False
descriptor,Waterbury Career Academy,Waterbury Career Academy High School,high school,latin,business_type,business_type,high,"The extra content ""high school"" describes the educational category or type of institution that Waterbury Career Academy is, providing essential information about what kind of establishment this place represents.",1,keep_longer,keep_longer,1,False
descriptor,Village Medical,Village Medical at Walgreens,at walgreens,latin,disambiguation,disambiguation,high,"The extra content ""at walgreens"" identifies the organizational affiliation and physical location of this Village Medical clinic within a Walgreens store, specifying which branch or co-located entity rather than describing the business type or a geographic city/region.",1,keep_shorter,keep_shorter,1,False
descriptor,Remington Heights,Remington Heights Retirement Community,retirement community,latin,business_type,business_type,high,"The extra content ""retirement community"" directly describes the business type or category of establishment that Remington Heights is, specifying what kind of residential facility it represents.",1,keep_longer,keep_longer,1,False
descriptor,Vegano Bio,Vegano Bio - Shop Online Prodotti Vegani,shop online prodotti vegani,latin,noise,noise,high,"The extra content ""shop online prodotti vegani"" is a marketing tagline and channel descriptor (""shop online"") combined with a generic product category description, which are listing boilerplate that add no semantic value beyond what ""Vegano Bio"" already conveys.",1,keep_shorter,keep_shorter,1,False
descriptor,De Giovannini,De Giovannini Secondo di Cozzi Pier Secondo,secondo di cozzi pier secondo,latin,disambiguation,noise,medium,"The extra content ""secondo di cozzi pier secondo"" appears to be a personal name or ownership notation (likely indicating ""Secondo di Cozzi"" or similar as an owner/proprietor), which is a legal ownership designation rather than a business type, location, or organizational affiliation that would be essential to identifying the place.",0,keep_shorter,keep_shorter,1,False
descriptor,El Dorado Hills Sports Club,El Dorado Hills Sports Club and Spa,and spa,latin,business_type,business_type,high,"The extra content ""and spa"" expands the description of services and business types offered at this establishment, adding ""spa"" as an additional service category beyond the sports club, which together define what kinds of amenities and services the place provides.",1,keep_longer,keep_longer,1,False
descriptor,Extended Stay America,Extended Stay America Los Angeles / Arcadia,los angeles arcadia,latin,location,location,high,"The extra content ""los angeles arcadia"" identifies the specific geographic location and city where this Extended Stay America franchise is situated, serving as a location-based qualifier rather than describing the business type.",1,keep_shorter,keep_shorter,1,False
descriptor,Oh My Goodness,Oh My Goodness OMG,omg,latin,disambiguation,noise,high,"The extra content ""omg"" is an acronym or abbreviation of the business name itself, serving as a marketing tagline or brand shorthand rather than adding semantic information about the business type, location, or organizational structure.",0,keep_shorter,keep_shorter,1,False
descriptor,Miracle Mile Shops,Miracle Mile Shops At Planet Hollywood,at planet hollywood,latin,location,location,high,"The extra content ""at planet hollywood"" identifies the specific venue or location where Miracle Mile Shops is situated, functioning as a geographic/organizational qualifier rather than describing the business type or adding essential semantic information about what Miracle Mile Shops is.",1,keep_shorter,keep_shorter,1,False
descriptor,Blue Rhino,Blue Rhino Propane Exchange,propane exchange,latin,business_type,business_type,high,"The extra content ""propane exchange"" describes the specific business type and service that Blue Rhino provides, making it essential information about what kind of establishment this is.",1,keep_longer,keep_longer,1,False
descriptor,Heartland Mortgage Inc - Bobbie Jo Haggard,"Heartland Mortgage Inc. / Bobbie Jo Haggard, NMLS 92472",nmls 92472,latin,noise,noise,high,"The extra content ""nmls 92472"" is a professional license number (Nationwide Mortgage Licensing System identifier) appended to a personal name, which is standard regulatory boilerplate that adds no semantic value to identifying the place or business.",1,keep_shorter,keep_shorter,1,False
descriptor,Hotel Farol,Hotel Farol - Mosqueiro,mosqueiro,latin,location,location,high,"The extra content ""mosqueiro"" is a geographic location (a district/neighborhood in Belém, Brazil) that specifies where this hotel is situated, serving as a location-based qualifier rather than describing the business type.",1,keep_shorter,keep_shorter,1,False
descriptor,AdventHealth Medical Group Primary Care,AdventHealth Medical Group Primary Care at Brandon,at brandon,latin,location,location,high,"The extra content ""at brandon"" is a geographic location qualifier identifying the specific city or area where this medical group facility is situated, functioning as a location-based directory descriptor.",1,keep_shorter,keep_shorter,1,False
descriptor,Eat Happy,Eat Happy Sushi & asiatische Spezialitäten,sushi asiatische spezialitaten,latin,business_type,business_type,high,"The extra content ""sushi asiatische spezialitäten"" (sushi and Asian specialties) describes the specific cuisine type and food categories that the restaurant offers, which is essential information about what kind of business Eat Happy is.",1,keep_longer,keep_longer,1,False
descriptor,Wohnungsauflösungen Schenk,Wohnungsauflösungen Schenk Ankauf und Verkauf,ankauf und verkauf,latin,business_type,business_type,high,"The extra content ""ankauf und verkauf"" (purchase and sale) describes the services and business operations offered by this company, specifying what types of transactions this estate liquidation business conducts.",1,keep_longer,keep_longer,1,False
